0,NUMBER,Quest. A1,Quest. A1 bis,A2,A3,A4,A5,A5 bis,A6,A7,A8,A9,B1,B1 bis,B2,B3,B3 bis,B4,B4 bis,B5,B5 bis,C1,C1 bis,C2,C2 bis,C3,C3 bis,C4,COMMENTS(C4)
91,S11,15,Finland,1,3,3,16,19,1,1,0,1,1.0-2.0-3.0-5.0,0,2,2,0,2.0-5.0,0,4,0,3.0-5.0-6.0,0,2.0-3.0-4.0-5.0,0,1.0-4.0,0,1,0
92,S12,29,Russia,5,3,7,11,18,2,2,0,2,1.0-2.0-3.0-5.0,0,4,0,0,1.0-2.0-3.0-5.0,0,1.0-2.0-3.0-4.0,0,2.0-3.0-5.0-6.0,0,1.0-3.0-4.0-5.0,0,1.0-4.1,0,1,0
93,S13,10,Poland,3,3,4,15,19,2,2,"physics, geography",3,3.0-5.0-6.0,0,4,2,0,2.0-3.0,0,1,0,3,0,1.0-2.0,0,1.0-3.0-4.0,0,2,0
94,S14,8,Germany,4,1,0,11,18,2,1,0,4,2.0-3.0-7.0,0,4,1,cahange from 8 to …,1.0-2.0,0,1.0-2.0-4.0,0,2.0-3.0,0,1.0-2.0,0,3,0,1,0
95,S15,24,Turkey,1,3,0,14,17,20,0,"climate, geomorphology, geology",2,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,1,2,0,1.0-2.0,0,1.0-2.0,0,4.0-5.0-6.0,0,3.0-4.0-5.0,0,1.0-2.0-3.0-4.0,0,1,EGU
96,S16,4,Austria,1,3,4,10,19,5,2,"History of Earth (biology), extintions (biologiy), natural disasters",4,1.0-3.0-7.0,0,4,2,0,1.0-2.0-3.0-4.0,0,1.0-2.0,0,2.0-5.0-6.0,0,2,0,2.0-4.0,0,1,teaching websites
97,S17,6,Portugal,1,2,3,14,17,7,2,"yes, many. All the topics that we talk in this conference we teach in a simple way",1,1.0-2.0-4.0-7.0,0,1,2,0,Update information-5.0-6.0,field lessons,1.0-2.1,0,2.0-3.0-5.0-6.0,0,3.0-4.0-5.0,0,5,in out school we are doing all that several internet sites related with science (biology and,0,0
98,S18,4,Austria,3,2,8,10,19,2,1,in middle school biology for example age of the Earth,1,1.0-2.0-3.0,0,4,2,0,1.0-2.0,0,2.0-3.0,0,3.0-5.0-6.0,0,2.0-4.0-5.0,0,1.0-3.0-4.0,0,2,0
99,S19,11,Hungary,3,2,6,14,18,2,3,0,3,2.0-3.0-6.0,0,4,0,0,2,0,3,0,2.0-3.0,0,3,0,1,0,1,"Realika, GoLab, Phet"
100,S20,1,Italy,1,3,5,14,19,2,3,general naturas science environment,1,1.0-2.0-3.0-4.0-6.0-7.0,0,4,1,"discovery geological (foxil) giaciment; new activity from book ""little prince"" about photo
(NON CAPISCO) park",0,0,0,0,0,0,0,0,0,0,0,0
101,S21,7,United Kingdom,1,3,8,11,18,2,0,plate tectonics / climate change / coastal,4,1.0-2.0-7.0,0,4,1,Update information,1.0-2.0-3.0,0,2,0,2.0-3.0,0,1.0-2.0-3.0,0,3,0,2,0
102,S22,1,Italy,1,3,5,14,19,2,2,Yes in the first year,1,2.0-3.0-4.0-6.0-7.0,0,4,2,0,2.0-3.0,0,1.0-2.0,0,2.0-3.0-4.0-6.0,0,3.0-4.0-5.0,0,1.0-2.0-3.0-4.0,0,1,"websites, phet interactive simulation"
103,S23,4,Austria,4,2,5,14,19,3,2,0,1,1.0-2.0-7.0,0,4,2,0,1.0-2.0-4.0,0,1.0-2.0-3.0,0,3.0-5.0,0,2.0-3.0,0,1.0-2.0-4.0,0,1,youtube
104,S24,2,France,0,3,7,10,17,5,3,0,3,2.0-3.0,0,4,2,0,1.0-2.0-3.0-5.0,0,1.0-4.0,0,3.0-6.0,0,2.0-5.0,0,1.0-4.0,0,2,0
105,S25,2,France,0,3,7,10,17,1,2,"Plate Tectonics, Evolution of life, Climatology, Seismology, Vulcanology",2,2.0-3.0-4.0-7.0,0,4,2,0,2.0-3.0,0,1.0-4.0,0,3,0,1.0-2.0-3.0,0,1.0-4.0,0,1,Eduscol
