0,NUMBER,Quest. A1,Quest. A1 bis,A2,A3,A4,A5,A5 bis,A6,A7,A8,A9,B1,B1 bis,B2,B3,B3 bis,B4,B4 bis,B5,B5 bis,C1,C1 bis,C2,C2 bis,C3,C3 bis,C4,COMMENTS(C4)
33,Q33,5,Spain,4,3,4,12,18,0,1,5,1,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,4,0,0,1,0,2,0,6,0,1.0-3.0,0,1,0,2,0
34,Q34,6,Portugal,6,3,3,15,18,4,3,1,1,1.0-2.0-4.0-5.0-7.0,0,4,2,0,3.0-5.0,0,1.0-2.0,0,3.0-6.0,0,3.0-5.0,0,2,0,1,0
35,Q35,7,United Kingdom,6,3,7,11,18,7,1,5,1,1.0-2.0-4.0-7.0,0,1,1,new A level curriculum,1.0-2.0-5.0,0,2.0-3.0,0,3.0-6.0,rock samples etc.,1.0-3.0-5.0,0,2,0,1,earth learning idca.com
36,Q36,13,Belgium,2,3,6,12,18,1,2,0,3,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,4,1,"plate tectonics, slab retreat",1.0-2.0,0,1,0,3,0,1.0-2.0-5.0,0,1.0-5.0,0,2,0
37,Q37,8,Germany,1,1,7,11,18,2,2,0,2,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,4,2,0,1.0-5.0,0,1.0-4.0-5.0,student-oriented research,3.0-5.0-6.0-7.0,lab matherial knowledge,2.0-3.0-4.0-5.0-6.0,"new insights  , scientific data",1.0-3.0-5.0,scientific data up to date!,1,articles maps 
38,Q38,1,Italy,1,3,8,11,19,2,2,4.0-6.0,1,3.0-4.0-6.0-7.0,0,0,2,0,1.0-3.0-4.0-5.0,0,1.0-2.0-5.0,PPT presentation,5.0-6.0,0,1.0-2.0-3.0-5.0,0,1.0-3.0-4.0,0,2,0
39,Q39,9,Romania,3,2,4,11,15,2,2,1,4,3.0-5.0-6.0-7.0,0,4,2,0,2.0-3.0-5.0,0,1.0-2.0-3.0,0,3.0-4.0,0,2.0-3.0-5.0,0,1.0-4.0,0,1,edu-artic scientix ise edods rdeduseis go-labz
40,Q40,9,Romania,0,1,4,11,15,1,2,1,4,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,4,1,climate changes,1.0-2.0-3.0-4.0,0,1.0-2.0-4.0,0,2.0-3.0-4.0-5.0-6.0,0,2.0-3.0-4.0-5.0,0,1.0-2.0-3.0-4.0,0,1,scientix (resources section) space awareness esero roeduseis ise go-labz
41,Q41,25,Mexico,3,3,3,15,17,5,1,8,2,0,0,0,0,0,0,0,0,0,5.0-6.0,0,2.0-3.0,0,4,0,1,Pnet Corvsera hiperphysics
42,Q42,2,France,1,2,7,11,18,2,2,3.0-4.0,2,2.0-4.0-7.0,0,0,1,atmosphere and climatology,1.0-2.0-3.0,0,1.0-4.0,0,2.0-3.0-6.0,0,2.0-3.0-4.0-5.0,0,1.0-3.0,0,1,Academic websites
43,Q43,6,Portugal,3,2,3,14,18,4,3,1,1,0,0,2,0,0,1.0-2.0-3.0,0,2,0,2.0-3.0-6.0,0,0,0,0,0,1,internet
44,Q44,16,Slovenia,1,3,4,15,19,5,1,5,3,1.0-3.0-5.0,0,2,0,0,2.0-5.0,0,1.0-2.0,0,3.0-6.0,0,2.0-3.0-5.0,0,1.0-4.0,0,1,0
45,Q45,6,Portugal,1,3,3,15,18,14,3,1,2,1.0-2.0-4.0-5.0-7.0-8.0,fossils; resources; rock and mineral,4,2,0,1.0-2.0-3.0-5.0,0,1.0-2.0-5.0,scientific report about labs activities,2.0-3.0-6.0-7.0,geologica models (3d),1.0-2.0-3.0-5.0,0,2,0,1,for example sciences school.org and www.casadasciencias.org
46,Q46,6,Portugal,1,3,3,15,18,12,3,0,1,1.0-2.0-4.0-6.0-8.0,natural resources; rock and mineral,4,2,0,1.0-2.0-3.0-5.0,0,1.0-2.0-5.0,Reports about labs activities and outdoors experience,2.0-6.0-7.0,geological models,1.0-2.0-3.0-5.0,0,1.0-4.0,0,2,0
47,Q47,9,Romania,2,3,8,12,17,1,2,0,1,1.0-2.0-3.0-4.0-6.0-7.0,0,4,2,0,1.0-2.0,0,1.0-2.0,0,3.0-5.0-6.0,0,2.0-3.0-4.0-5.0,0,1.0-3.0-4.0,0,0,0
48,Q48,6,Portugal,1,0,3,15,18,4,2,0,1,2.0-5.0,0,4,2,0,1.0-2.0,0,1.0-2.0,0,2.0-3.0-4.0,0,1.0-2.0,0,1.0-3.0,0,1,0
49,Q49,1,Italy,2,2,8,11,19,1,2,4,4,2.0-4.0-7.0,0,4,1,teaching in english using games and joke to explain the concepts,2.0-3.0,0,1.0-5.0,interactive games and exercise,2.0-4.0-6.0-7.0,exit in the territory,2.0-3.0-5.0,0,1.0-2.0,0,2,0
50,Q50,20,Norway,1,3,3,16,19,7,2,0,1,2.0-3.0-4.0-5.0-6.0-7.0-8.0,0,4,2,0,1.0-2.0-4.0,0,2.0-4.0,0,2.0-3.0-4.0-5.0-6.0-7.0,"field trips, outdoor activities in the local area",1.0-2.0-3.0-4.0-5.0-6.0,variations a mix af the above,1.0-3.0,0,1,numerosus
51,Q51,20,Norway,1,3,0,16,19,7,2,0,1,1.0-2.0-3.0-4.0-5.0-6.0-7.0-8.0,0,2,2,0,1.0-2.0-3.0-4.0-5.0,0,1.0-2.0-4.0,0,2.0-3.0-4.0-5.0,0,1.0-2.0-3.0-4.0-5.0-6.0,variation,1.0-4.0,0,1,0
52,Q52,2,France,0,3,3,15,18,1,1,3.0-7.0-4.0,2,1.0-2.0-3.0-4.0-5.0-7.0-8.0,fossilization,4,1,more epistemology; history of science,1.0-2.0-3.0-4.0-5.0-6.0,all og that,3.0-4.0,0,3.0-6.0,0,3.0-5.0,3 a little bit 5 mostly,1,4  cause its too expecsive,1,planet teme.fr
53,Q53,27,japan,0,2,6,13,18,3,2,5,4,3.0-5.0-7.0,0,1,2,0,2,0,2,0,3,0,2,0,4,0,1,0
54,Q54,2,France,0,3,7,11,18,1,4,3.0-7.0,3,1.0-2.0-3.0-4.0-7.0,0,4,0,0,2.0-3.0,0,4,0,6,0,2.0-3.0,0,4,0,1,a lot
55,Q55,10,Poland,1,3,4,15,18,18,2,0,3,1.0-2.0-4.0-7.0,0,4,2,0,1.0-3.0-5.0,5 sometimes,1.0-2.0,0,2.0-3.0-7.0,outdoor education,2.0-3.0-5.0,0,1.0-3.0,0,1,web resources
56,Q56,24,Turkey,1,3,4,14,18,20,2,0,3,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,2,2,0,1.0-2.0,0,1.0-2.0,0,2.0-3.0,0,2.0-5.0,0,1.0-4.0,0,1,"youtube,egu"
57,Q57,6,Portugal,3,3,3,14,17,8,2,1,2,1.0-2.0-3.0,0,4,0,0,0,0,2.0-4.0,0,2.0-3.0-6.0,0,0,0,1.0-2.0-3.0-4.0,0,1,0
58,Q58,26,United States of America,1,1,0,11,18,10,3,8,4,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,4,2,0,2.0-3.0-4.0-5.0,0,2,0,2.0-3.0-5.0-6.0,0,2.0-3.0-4.0-5.0,0,1.0-2.0-3.0-4.0,0,1,google
59,Q59,8,Germany,4,3,3,15,18,2,2,0,1,8,0,4,2,0,2,0,5,blended learning,6,0,3,0,1,0,1,geolinde musin.de
60,Q60,23,Morocco,3,3,3,15,18,5,0,1,1,0,0,0,2,0,0,0,1.0-2.0-3.0,0,2.0-3.0-6.0,0,0,0,1.0-4.0,0,1,internet simulation
61,Q61,23,Morocco,6,3,3,15,18,4,3,1,1,1.0-2.0-3.0-5.0-7.0,0,4,2,0,1.0-2.0,exsursion,1.0-2.0-3.0,0,2.0-3.0-6.0,0,3.0-5.0,0,1.0-4.0,0,1,internet CDs
62,Q62,22,The Netherlands,1,2,5,12,17,3,1,5,1,1.0-2.0-3.0-5.0-6.0-7.0,4 little,4,1,seaice to south America as regional topic,1.0-2.0-3.0-5.0,0,2.0-3.0,0,2.0-3.0-4.0,0,3.0-5.0,5 !!!,2.0-4.0,!,1,too many to mane
63,Q63,8,Germany,4,3,9,10,19,20,1,0,2,1.0-2.0-3.0-5.0-6.0-7.0,0,2,2,0,1.0-2.0-5.0,0,1.0-2.0-3.0,0,2.0-3.0,0,2.0-3.0-5.0,0,3,0,1,0
64,Q64,1,Italy,2,2,8,11,19,2,3,3.0-4.0,1,1.0-2.0-3.0-4.0-7.0,0,4,2,0,2.0-5.0,0,1.0-2.0,0,2.0-3.0-6.0,0,2.0-3.0-4.0-5.0,0,4,0,1,web connection
65,Q65,30,Namibia,1,0,6,12,19,12,3,5,4,1.0-2.0-3.0-4.0-5.0-7.0-8.0,0,2,2,0,3.0-4.0-6.0,0,1.0-2.0-3.0-4.0,0,3.0-6.0-7.0,field trip/work,2.0-3.0-5.0,0,3,0,1,0
66,Q66,8,Germany,4,3,9,10,19,2,1,0,2,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,4,2,0,1.0-2.0-3.0-5.0,0,1.0-2.0,0,2.0-3.0,0,2.0-3.0-5.0,0,1.0.3.0-4.0,0,1,0
