0,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock
137,5,3,4,3,2,3,2,4,3,1
138,5,3,4,3,3,5,5,5,4,2
139,5,3,2,3,3,4,5,2,1,1
140,5,4,5,3,2,3,3,5,4,1
141,5,4,3,2,1,2,3,4,4,2
142,3,4,1,3,1,3,1,3,5,5
143,5,4,4,1,3,2,2,4,4,1
144,5,4,4,2,1,1,2,4,4,2
145,5,2,3,1,2,3,2,,5,1
146,1,4,4,1,1,2,2,2,4,1
147,5,3,5,2,1,4,1,5,4,3
148,5,4,3,2,3,2,2,3,5,4
149,4,3,4,4,4,3,3,5,3,2
150,2,3,1,3,1,3,4,1,2,2
151,5,2,2,2,3,4,4,3,5,5
152,5,4,3,1,1,3,2,2,4,4
153,5,3,5,2,2,3,3,4,4,2
154,2,5,5,2,2,3,2,4,2,1
155,5,3,1,2,4,5,1,1,5,4
156,5,4,4,3,3,5,2,3,3,2
157,5,4,2,4,3,4,2,3,5,2
158,5,5,4,4,4,2,2,4,4,4
159,5,3,4,2,1,3,2,5,4,1
160,5,3,4,4,3,5,4,4,5,3
161,5,3,3,2,1,2,1,1,5,4
162,5,3,2,2,2,2,2,4,5,3
163,4,2,3,5,4,5,2,4,3,1
164,5,5,3,1,1,2,1,4,3,2
165,5,4,4,2,1,3,2,4,,1
166,5,4,5,2,4,3,1,4,1,1
167,5,5,1,2,1,3,1,1,3,5
168,3,3,3,2,2,,2,3,4,3
169,5,4,4,1,2,4,3,4,4,1
170,5,3,2,1,2,4,4,3,5,4
171,4,3,2,3,2,2,1,3,4,2
172,5,4,3,1,2,4,3,4,4,1
173,5,3,2,3,3,4,4,2,5,5
174,5,3,2,1,2,4,4,3,2,1
175,5,2,1,5,3,3,3,1,1,1
176,5,3,1,1,1,5,3,3,5,5
177,5,3,3,,1,1,1,3,5,5
178,5,3,1,4,2,4,3,1,5,5
179,4,3,1,3,3,5,2,2,4,4
180,4,3,1,2,2,5,2,1,1,2
181,4,4,2,1,1,3,3,2,5,4
182,5,3,4,3,3,4,3,3,4,3
183,5,3,4,3,2,4,4,4,5,4
184,5,3,3,2,1,2,5,4,3,1
185,5,4,2,2,2,3,4,2,5,1
186,3,3,3,1,1,2,5,3,2,1
187,4,2,2,4,2,3,3,4,2,1
188,5,3,1,2,2,2,1,4,3,2
189,3,3,3,3,2,5,4,3,3,1
190,5,3,1,3,2,5,3,1,4,5
191,4,4,2,2,2,4,2,2,4,5
192,5,3,2,5,2,4,5,5,2,1
193,5,1,4,1,2,3,3,5,4,1
194,5,3,1,4,3,5,3,1,5,5
195,5,4,1,2,1,3,2,2,4,2
196,5,3,2,2,2,3,2,2,3,1
197,5,3,2,2,2,2,3,4,4,3
198,5,3,3,2,3,1,4,2,2,1
199,5,3,3,4,2,2,2,3,5,3
200,5,4,4,1,1,1,1,2,3,1
201,4,3,3,1,2,4,3,4,4,4
202,5,3,2,4,3,3,3,5,5,
203,5,3,5,1,1,1,1,3,2,1
204,5,3,4,2,2,3,1,4,5,3
205,5,3,3,3,2,3,3,2,5,4
206,5,1,2,4,3,5,5,4,4,3
207,5,3,5,2,2,5,5,3,4,4
208,5,3,2,3,3,4,5,3,3,1
209,5,3,3,2,1,3,2,4,4,1
210,5,2,4,3,3,4,3,2,5,4
211,5,4,5,5,5,5,1,4,5,4
212,5,4,5,1,2,2,5,5,5,1
213,5,3,1,3,3,5,1,2,4,2
214,5,4,4,2,3,3,4,5,5,2
215,4,3,2,2,2,3,3,3,5,4
216,1,3,2,2,1,1,1,3,1,1
217,5,4,1,1,1,1,1,1,4,5
218,5,3,4,1,3,2,5,4,3,1
219,5,4,2,1,3,2,3,4,3,1
220,5,5,5,1,1,1,2,3,1,1
221,5,3,4,3,3,4,2,1,3,1
222,5,3,4,5,1,4,3,3,5,5
223,5,3,3,2,4,4,3,5,5,3
224,5,3,3,3,2,3,1,4,2,2
225,5,3,2,2,3,5,4,4,5,3
226,5,4,2,3,2,4,4,2,5,2
227,5,5,5,5,4,,3,4,5,3
228,5,2,2,4,3,5,3,2,4,3
229,4,3,3,5,3,4,2,3,3,1
230,4,3,4,2,4,1,1,4,3,1
231,5,2,2,5,4,5,5,5,3,1
232,5,1,3,2,3,2,2,4,5,3
233,5,3,1,2,4,4,1,2,3,2
234,4,4,4,2,2,4,3,4,4,4
235,4,4,4,4,3,2,1,4,5,4
236,5,3,1,1,1,3,3,3,5,4
237,1,3,3,3,2,3,5,4,4,3
238,5,4,4,2,1,3,3,4,3,1
239,5,2,2,1,2,2,3,4,2,1
240,5,3,4,2,1,5,2,2,4,1
241,3,4,2,1,1,1,1,2,3,2
242,5,4,2,1,1,3,5,3,3,1
243,3,3,3,2,1,2,5,5,4,1
244,,3,2,1,2,4,5,5,5,1
245,5,3,5,2,4,3,5,5,5,2
246,5,3,2,3,3,2,2,3,4,3
247,5,3,3,2,3,4,1,4,5,2
248,5,3,3,2,1,4,5,3,5,2
249,5,3,4,1,1,4,3,4,5,4
250,5,3,3,4,4,4,4,5,5,4
251,5,3,3,2,1,2,2,4,3,2
252,5,5,5,2,2,3,5,5,5,2
253,5,2,2,2,3,3,3,4,5,1
254,5,3,3,1,2,1,1,3,1,1
255,5,3,5,3,2,2,5,5,3,1
256,5,3,2,5,4,5,5,3,5,4
257,5,3,3,4,2,1,2,5,2,1
258,5,3,5,3,2,3,3,4,4,3
259,5,4,1,2,1,5,1,1,5,5
260,2,3,3,3,3,2,2,3,4,2
261,3,3,3,3,3,3,3,3,3,3
262,5,3,4,2,3,2,2,5,2,1
263,5,4,3,4,2,5,4,2,5,2
264,5,5,5,2,2,2,4,5,4,2
265,3,3,3,3,1,3,3,5,4,3
266,5,3,3,2,1,2,3,5,2,1
267,5,3,3,3,2,3,3,4,4,1
268,5,3,4,3,4,4,3,2,4,4
269,5,3,3,2,1,2,2,5,2,1
270,5,3,3,1,2,4,4,3,5,3
271,5,3,3,2,1,1,3,4,5,4
272,5,3,4,3,1,1,1,4,5,5
273,5,3,2,4,3,5,3,2,5,5
274,5,3,4,2,2,4,4,4,4,2
275,5,4,5,3,3,2,2,4,3,1
276,5,3,3,3,4,4,5,3,4,4
277,5,4,5,3,5,2,2,5,5,4
278,5,3,2,1,3,3,1,4,5,3
279,5,4,3,5,2,4,3,3,4,2
280,5,3,4,2,2,2,1,4,3,1
281,5,3,4,2,1,3,4,2,5,5
282,5,3,4,2,3,4,1,2,4,4
283,5,3,1,1,2,1,2,3,2,1
284,5,3,4,2,3,3,2,4,4,2
285,1,2,1,1,1,1,1,1,1,1
286,5,4,3,1,1,3,3,5,5,1
287,5,3,3,2,2,4,3,4,4,1
288,5,3,3,1,1,3,2,4,4,2
289,5,3,5,3,,3,1,2,3,2
290,5,3,4,2,2,3,4,4,4,2
291,4,3,4,1,1,2,4,4,4,1
292,4,3,3,3,3,3,3,3,5,4
293,5,4,5,2,3,2,5,5,4,1
294,5,1,2,2,2,4,4,1,5,4
295,5,3,2,2,1,4,2,3,4,1
296,5,3,3,2,5,3,3,4,5,3
297,5,4,5,1,1,1,1,5,3,2
298,5,3,2,1,2,3,2,2,3,2
299,5,3,5,2,3,2,2,4,3,1
300,5,3,4,1,1,3,4,2,4,1
301,5,2,1,5,2,5,2,2,4,5
302,4,2,1,2,1,5,2,1,5,5
303,5,4,5,4,1,2,5,5,5,2
304,4,5,2,2,4,2,5,4,5,4
305,5,3,2,2,1,4,4,4,4,2
306,5,3,3,2,1,2,2,2,5,2
307,5,5,5,3,3,3,3,3,4,2
308,5,3,1,4,3,2,5,2,5,4
309,5,5,5,2,3,3,2,4,3,1
310,5,3,4,2,1,3,3,3,4,1
311,5,5,4,1,1,3,2,4,4,2
312,5,4,5,5,2,5,5,5,5,2
313,2,4,2,1,1,2,2,3,4,3
314,5,4,3,2,2,4,3,4,2,1
315,5,4,5,4,5,4,5,5,5,5
316,5,3,1,1,1,3,3,5,2,1
317,5,3,4,1,1,1,3,3,3,1
318,5,3,5,2,2,2,1,3,5,1
319,5,3,2,3,4,3,3,3,1,1
320,5,3,4,3,2,4,5,5,4,1
321,5,4,3,2,2,2,2,3,5,4
322,5,3,3,2,4,3,4,4,5,2
323,5,3,2,2,1,4,3,2,5,5
324,5,2,2,1,4,5,4,5,4,1
325,5,3,4,2,2,2,2,5,3,2
326,5,3,4,4,3,3,3,4,4,4
327,5,4,3,2,2,3,2,5,4,2
328,5,3,3,2,1,4,4,5,3,1
329,5,5,3,3,4,2,1,2,5,4
330,5,3,4,2,3,3,2,4,4,1
331,5,3,4,2,1,4,3,3,5,3
332,5,5,3,2,3,3,3,2,5,2
333,4,3,3,2,3,3,5,3,2,1
334,5,2,3,2,3,3,4,5,4,2
335,5,2,2,3,3,2,3,2,3,2
336,5,5,4,3,2,3,3,4,4,2
337,5,4,3,1,2,3,2,5,3,1
338,5,3,5,1,2,3,2,3,3,1
339,5,3,,,,4,3,3,5,2
340,5,3,2,2,1,5,3,2,5,5
341,5,1,1,3,2,5,3,2,3,1
342,5,4,1,1,1,1,1,2,2,2
343,5,3,3,2,2,2,4,3,3,1
344,5,4,3,5,2,2,5,5,4,2
345,5,3,2,4,4,1,2,5,3,1
346,4,3,4,2,1,1,2,4,4,3
347,5,4,1,1,1,1,1,3,3,1
348,5,4,3,2,2,2,2,4,4,4
349,5,4,3,5,2,5,5,4,2,1
350,5,4,5,2,1,2,3,5,2,1
351,2,3,4,2,2,1,1,4,4,3
352,5,3,3,2,4,5,3,5,5,2
353,5,5,2,1,3,2,1,2,5,5
354,5,3,3,1,2,3,2,4,2,1
355,5,3,3,3,2,4,4,4,4,2
356,5,4,2,1,3,1,2,4,3,1
357,4,4,3,3,4,4,4,5,5,3
358,5,4,3,1,1,2,2,2,4,4
359,4,3,5,3,3,2,1,3,5,2
360,5,3,4,2,4,3,2,5,2,1
361,5,3,4,1,2,1,3,5,5,1
362,5,1,3,5,5,5,2,2,5,4
363,5,3,2,3,2,4,5,3,5,4
364,5,3,1,3,2,4,5,3,5,3
365,2,4,4,2,3,3,2,4,5,4
366,5,3,2,2,3,4,2,1,5,4
367,5,2,2,1,2,2,2,4,4,2
368,5,3,3,1,3,4,1,5,5,4
369,5,4,5,2,2,3,3,5,3,1
370,5,3,5,3,2,1,1,,2,4
371,5,4,3,3,2,4,3,5,5,3
372,5,3,5,5,5,5,5,5,5,3
373,4,4,2,2,2,2,2,2,4,2
374,5,4,2,1,1,1,1,5,3,1
375,5,3,5,2,2,1,2,5,3,1
376,5,3,4,2,1,1,3,5,4,2
377,5,5,,1,1,1,1,4,1,1
378,5,3,2,3,3,4,2,3,5,4
379,5,5,5,,2,2,4,5,4,1
380,5,3,5,4,3,4,5,4,4,2
381,5,4,4,3,2,2,3,4,4,1
382,5,4,2,2,3,4,3,2,5,3
383,5,3,4,3,4,2,2,5,1,1
384,5,3,2,2,2,3,4,3,5,3
385,5,4,3,1,1,2,3,3,5,5
386,5,3,5,4,4,5,4,4,5,3
387,5,3,3,2,1,2,3,4,5,3
388,5,3,5,2,2,2,4,5,2,1
389,5,3,3,4,2,4,4,5,4,1
390,5,4,3,2,2,3,3,3,2,1
391,4,3,1,1,2,3,2,2,2,1
392,4,4,3,3,3,3,3,3,3,2
393,5,4,4,3,1,3,2,4,3,1
394,5,4,1,1,3,1,1,1,3,5
395,5,3,3,1,1,2,1,3,4,2
396,5,4,3,1,3,1,2,3,4,5
397,5,3,3,4,2,5,4,3,3,1
398,5,3,3,5,2,2,3,4,1,1
399,5,4,3,3,2,2,2,2,3,3
400,5,4,2,4,1,5,5,4,4,3
401,5,3,4,1,2,3,1,4,2,1
402,5,3,2,1,3,1,3,2,5,4
403,5,3,5,5,1,5,2,4,5,4
404,2,3,2,3,3,3,4,3,4,2
405,5,3,4,5,5,5,2,4,5,1
406,4,3,3,3,3,3,3,3,2,1
407,5,3,4,5,1,4,5,5,4,1
408,5,3,4,2,3,3,3,3,3,1
409,5,5,3,4,3,5,5,3,1,1
410,5,4,5,1,5,1,5,4,4,1
411,5,5,4,2,1,3,1,4,5,1
412,5,3,3,2,2,3,4,5,5,1
413,5,5,3,1,1,1,1,3,5,5
414,5,3,4,3,1,2,2,4,4,4
415,5,3,4,3,2,5,3,5,3,2
416,5,3,3,1,1,1,1,5,5,1
417,4,2,5,1,1,4,2,4,3,2
418,5,5,1,2,1,2,2,1,2,4
419,5,1,4,4,2,2,3,5,1,1
420,5,3,5,2,5,5,5,5,5,1
421,5,4,1,1,1,3,1,2,5,3
422,5,2,2,3,2,5,5,5,4,1
423,5,5,4,1,1,1,4,5,1,1
424,5,2,3,2,1,3,3,5,4,3
425,5,5,5,3,3,2,2,3,,1
426,5,3,3,1,1,2,3,4,5,3
427,5,2,1,1,1,1,1,2,5,4
428,5,3,3,3,1,5,1,2,3,1
429,5,3,5,3,2,4,5,5,3,2
430,5,4,2,1,2,3,2,2,5,4
431,5,5,3,3,3,4,2,4,4,2
432,4,3,4,1,3,2,3,2,2,1
433,5,3,2,2,2,3,1,1,5,4
434,5,3,4,4,4,2,4,5,4,3
435,5,4,4,1,2,2,3,5,3,1
436,5,3,1,1,1,1,2,3,5,5
437,4,3,2,2,2,2,1,4,4,2
438,5,3,2,1,1,1,2,3,3,1
439,5,3,1,1,1,2,3,4,5,4
440,5,5,5,2,2,1,1,4,2,1
441,5,3,4,1,2,4,3,4,4,1
442,5,1,3,2,1,2,2,5,,1
443,5,3,4,2,4,3,3,5,4,1
444,4,3,2,2,2,4,3,3,3,1
445,5,4,3,2,4,2,2,2,3,4
446,5,3,4,2,2,2,3,5,3,1
447,4,3,4,1,2,2,1,3,3,1
448,3,2,1,3,3,3,4,1,1,1
449,5,3,4,2,2,2,2,4,4,1
450,5,3,3,3,1,2,5,3,4,2
451,5,4,4,3,1,5,3,5,3,1
452,5,3,3,2,2,3,1,4,4,1
453,5,3,4,1,1,1,1,5,3,3
454,5,4,2,2,1,1,5,3,4,2
455,4,4,2,1,1,2,3,4,5,3
456,5,3,4,2,1,2,3,5,5,2
457,5,5,3,1,1,1,1,3,2,1
458,5,4,4,2,1,2,1,4,5,2
459,5,,5,5,5,5,5,5,1,1
460,4,2,2,2,3,3,3,2,3,2
461,5,4,3,1,1,1,1,2,4,2
462,5,3,2,4,3,3,3,3,3,1
463,4,3,3,1,2,3,1,3,5,1
464,5,3,3,1,1,3,3,5,3,1
465,5,4,4,3,3,3,2,3,4,1
466,5,3,3,2,2,3,4,3,1,1
467,5,3,3,1,3,3,3,4,3,1
468,4,2,4,3,2,3,2,3,2,2
469,5,3,3,2,4,4,2,4,5,2
470,5,5,5,1,1,1,1,4,3,1
471,4,3,4,3,1,2,3,5,2,1
472,5,3,4,2,2,2,2,3,5,4
473,3,3,2,2,4,3,2,4,3,1
474,5,2,1,1,1,1,1,2,4,4
475,5,3,5,1,1,3,1,5,3,1
476,5,3,3,2,5,4,5,3,5,4
477,5,3,2,1,1,4,3,4,5,4
478,5,3,2,1,1,2,4,2,5,3
479,5,4,5,2,3,2,3,4,4,2
480,5,3,3,2,2,3,3,3,4,3
481,5,4,5,3,5,3,4,5,4,2
482,5,4,4,4,1,5,1,1,2,4
483,3,4,2,1,3,1,1,3,4,2
484,5,4,3,2,1,5,3,4,5,3
485,5,3,3,1,2,2,2,4,4,3
486,5,3,4,2,1,2,1,4,5,1
487,3,3,4,2,2,2,1,4,2,1
488,5,5,5,2,1,1,1,1,1,
489,5,3,2,4,3,5,4,3,5,3
490,5,5,2,2,2,1,1,2,5,1
491,4,3,3,2,2,2,3,3,2,1
492,5,3,3,2,2,2,2,4,4,2
493,5,5,3,3,1,4,4,2,5,2
494,5,3,4,1,2,2,1,5,3,1
495,5,3,2,2,1,2,4,2,5,2
496,5,3,2,1,2,2,2,3,5,2
497,3,2,3,2,4,5,4,3,3,1
498,5,4,3,3,3,4,4,5,5,2
499,5,3,3,2,1,3,2,2,4,1
500,5,4,2,4,2,3,2,4,4,2
501,5,3,3,5,2,4,2,2,4,2
502,5,3,4,5,3,4,2,4,4,2
503,5,4,4,3,2,4,2,2,5,3
504,5,3,2,2,1,5,5,4,4,1
505,5,3,5,1,1,2,2,5,1,1
506,5,4,3,4,2,2,2,3,5,3
507,5,4,2,1,1,1,1,2,2,3
508,5,4,3,4,3,3,4,2,2,1
509,5,3,1,3,5,4,1,3,5,2
510,4,5,4,5,2,3,4,4,1,1
511,5,3,5,3,3,4,4,4,4,3
512,5,3,3,1,2,3,2,3,3,1
513,5,1,2,4,1,2,1,1,1,1
514,5,4,3,1,1,2,3,3,4,5
515,5,3,1,5,5,2,2,3,5,1
516,5,4,4,3,3,3,4,4,5,5
517,5,5,5,3,1,2,3,5,4,4
518,5,3,3,1,1,4,4,4,4,3
519,5,4,4,2,2,3,2,5,4,1
520,5,4,4,3,1,2,1,1,2,2
521,5,3,3,1,2,2,2,4,2,1
522,5,3,5,5,1,5,4,5,3,2
523,5,3,4,2,2,3,3,4,3,1
524,5,3,5,2,1,2,1,1,3,1
525,5,3,2,1,2,4,2,2,5,5
526,3,4,3,3,3,3,3,3,5,1
527,5,4,3,1,1,2,2,4,4,4
528,4,5,3,1,3,2,3,4,4,1
529,5,4,3,1,1,5,3,5,5,1
530,5,2,1,2,2,2,1,3,5,3
531,5,3,3,5,2,3,3,5,2,1
532,5,4,2,5,4,5,2,2,5,4
533,5,3,4,2,1,3,3,4,4,2
534,5,3,3,1,2,2,2,3,5,2
535,5,3,3,3,1,3,3,4,3,1
536,5,1,3,3,4,4,4,5,5,3
537,5,5,2,1,1,1,2,4,2,2
538,5,3,3,2,1,4,3,3,4,1
539,5,3,3,2,1,3,3,4,4,4
540,5,3,3,2,2,5,1,4,5,4
541,5,3,3,5,1,5,5,5,5,1
542,5,4,3,2,2,2,3,3,2,2
543,5,3,5,2,1,2,2,4,4,3
544,5,4,4,1,1,4,2,4,4,4
545,5,4,2,3,1,4,5,2,5,4
546,5,3,3,3,3,3,1,3,3,3
547,5,3,3,2,2,5,5,4,5,3
548,5,4,1,4,2,5,3,1,4,5
549,4,3,1,3,3,3,1,2,5,1
550,5,4,5,1,2,2,3,5,3,1
551,5,3,2,5,4,3,3,3,5,2
552,5,4,3,3,3,2,2,4,2,1
553,5,3,2,3,1,3,3,2,4,2
554,3,3,4,4,2,2,2,3,2,1
555,4,3,3,4,2,3,4,3,3,2
556,5,5,5,3,1,1,2,5,1,1
557,5,3,3,1,1,3,3,4,1,1
558,5,3,2,3,3,2,3,4,4,2
559,,2,3,1,2,2,4,4,2,1
560,5,3,5,2,2,1,2,2,4,2
561,5,5,4,3,3,4,3,4,3,4
562,5,3,4,3,3,4,2,4,4,1
563,5,5,5,3,2,2,2,4,3,3
564,5,4,4,1,3,3,1,4,5,2
565,5,5,5,1,1,1,1,1,5,1
566,5,3,5,2,2,2,3,4,2,1
567,5,3,3,2,2,2,3,2,2,1
568,5,4,4,2,2,1,1,3,3,2
569,5,4,5,2,1,2,1,5,3,1
570,5,3,4,4,2,3,2,3,3,2
571,5,3,3,1,1,2,1,3,3,1
572,3,5,4,2,1,2,3,4,1,3
573,5,3,3,1,1,4,3,3,3,3
574,4,3,3,1,1,1,1,2,4,3
575,5,5,5,3,1,1,3,3,3,1
576,5,4,3,4,3,4,4,2,4,2
577,5,3,3,2,4,3,5,3,3,1
578,5,4,4,2,1,2,5,3,3,1
579,5,3,3,2,3,2,4,5,2,1
580,5,3,4,3,2,5,2,5,5,4
581,5,3,1,1,1,1,1,1,1,1
582,5,4,2,2,1,1,4,3,4,3
583,3,3,4,3,1,3,3,2,3,2
584,5,4,2,1,1,3,4,5,4,1
585,5,3,4,3,3,2,2,5,3,1
586,5,3,3,3,3,3,2,3,4,3
587,5,5,5,3,4,4,3,2,3,4
588,5,3,2,1,1,1,1,2,4,4
589,5,3,4,1,1,2,5,2,1,1
590,5,4,1,1,1,3,4,1,5,5
591,5,3,3,2,3,3,4,3,5,4
592,4,3,3,3,2,1,5,4,1,1
593,5,3,3,3,1,3,3,4,1,1
594,5,3,2,3,1,4,3,2,5,3
595,5,3,2,3,1,5,1,3,4,1
596,5,5,1,1,1,1,3,1,4,4
597,5,3,4,1,1,2,1,4,3,1
598,5,4,4,2,2,2,2,5,5,2
599,4,3,4,2,3,2,1,3,4,2
600,5,4,5,3,4,2,2,5,4,3
601,5,3,2,1,1,5,3,4,4,4
602,5,3,1,4,3,4,3,2,4,1
603,4,4,4,2,3,2,2,5,4,4
604,5,4,3,2,2,3,4,4,4,2
605,5,3,3,2,2,1,3,4,4,1
606,5,3,1,5,5,2,3,3,5,3
607,4,3,3,2,1,2,2,5,4,1
608,3,3,3,1,3,3,3,4,3,3
609,3,4,2,4,2,4,2,5,1,
610,4,3,3,2,2,5,2,3,3,2
611,5,4,3,2,2,3,2,4,5,4
612,5,3,3,2,1,1,1,5,3,1
613,5,3,5,1,1,3,2,3,4,3
614,5,2,3,2,2,2,1,3,4,3
615,5,3,4,1,1,3,2,4,4,1
616,5,3,3,3,1,5,4,4,5,2
617,3,3,4,1,5,4,1,3,5,3
618,5,3,3,2,4,5,5,3,4,1
619,5,5,5,4,2,5,5,5,5,1
620,5,1,3,3,1,5,4,3,3,2
621,5,3,2,1,1,5,2,4,4,1
622,4,1,4,1,2,2,2,1,3,4
623,5,3,5,4,4,5,5,5,4,2
624,5,4,2,3,3,1,1,1,2,2
625,5,2,3,1,2,1,2,5,5,2
626,5,4,5,3,2,3,3,5,2,1
627,5,3,4,2,2,1,1,3,3,2
628,5,5,4,4,3,1,4,2,1,1
629,4,4,3,1,1,2,2,3,5,5
630,5,3,5,3,2,2,2,4,4,1
